match_id,team,name,battingStyle,bowlingStyle,playingRole,team1,team2,matchDate,stage,image,description
"T20I # 1862",Ireland,"Andy Balbirnie","Right hand Bat","Right arm Offbreak",Batter,Ireland,"New Zealand","2022-11-04 00:00:00","Super 12",,"Already one of Ireland's star batters at No. 3, Andrew Balbirnie flourished with the bat even more after he was made captain across formats late in 2019. Although not a power-hitter, Balbirnie is fluent, keeps the score ticking, and is excellent against spin bowling - his hard sweep is a signature shot."
"T20I # 1855",Ireland,"Andy Balbirnie","Right hand Bat","Right arm Offbreak",Batter,Australia,Ireland,"2022-10-31 00:00:00","Super 12",,"Already one of Ireland's star batters at No. 3, Andrew Balbirnie flourished with the bat even more after he was made captain across formats late in 2019. Although not a power-hitter, Balbirnie is fluent, keeps the score ticking, and is excellent against spin bowling - his hard sweep is a signature shot."
"T20I # 1849a",Ireland,"Andy Balbirnie","Right hand Bat","Right arm Offbreak",Batter,Afghanistan,Ireland,"2022-10-28 00:00:00","Super 12",,"Already one of Ireland's star batters at No. 3, Andrew Balbirnie flourished with the bat even more after he was made captain across formats late in 2019. Although not a power-hitter, Balbirnie is fluent, keeps the score ticking, and is excellent against spin bowling - his hard sweep is a signature shot."
"T20I # 1846",Ireland,"Andy Balbirnie","Right hand Bat","Right arm Offbreak",Batter,England,Ireland,"2022-10-26 00:00:00","Super 12",,"Already one of Ireland's star batters at No. 3, Andrew Balbirnie flourished with the bat even more after he was made captain across formats late in 2019. Although not a power-hitter, Balbirnie is fluent, keeps the score ticking, and is excellent against spin bowling - his hard sweep is a signature shot."
"T20I # 1841",Ireland,"Andy Balbirnie","Right hand Bat","Right arm Offbreak",Batter,Ireland,"Sri Lanka","2022-10-23 00:00:00","Super 12",,"Already one of Ireland's star batters at No. 3, Andrew Balbirnie flourished with the bat even more after he was made captain across formats late in 2019. Although not a power-hitter, Balbirnie is fluent, keeps the score ticking, and is excellent against spin bowling - his hard sweep is a signature shot."
"T20I # 1837",Ireland,"Andy Balbirnie","Right hand Bat","Right arm Offbreak",Batter,Ireland,"West Indies","2022-10-21 00:00:00",Qualifier,,"Already one of Ireland's star batters at No. 3, Andrew Balbirnie flourished with the bat even more after he was made captain across formats late in 2019. Although not a power-hitter, Balbirnie is fluent, keeps the score ticking, and is excellent against spin bowling - his hard sweep is a signature shot."
"T20I # 1833",Ireland,"Andy Balbirnie","Right hand Bat","Right arm Offbreak",Batter,Ireland,Scotland,"2022-10-19 00:00:00",Qualifier,,"Already one of Ireland's star batters at No. 3, Andrew Balbirnie flourished with the bat even more after he was made captain across formats late in 2019. Although not a power-hitter, Balbirnie is fluent, keeps the score ticking, and is excellent against spin bowling - his hard sweep is a signature shot."
"T20I # 1828",Ireland,"Andy Balbirnie","Right hand Bat","Right arm Offbreak",Batter,Ireland,Zimbabwe,"2022-10-17 00:00:00",Qualifier,,"Already one of Ireland's star batters at No. 3, Andrew Balbirnie flourished with the bat even more after he was made captain across formats late in 2019. Although not a power-hitter, Balbirnie is fluent, keeps the score ticking, and is excellent against spin bowling - his hard sweep is a signature shot."
"T20I # 1871","South Africa","Anrich Nortje","Right hand Bat","Right arm Fast",Bowler,Netherlands,"South Africa","2022-11-06 00:00:00","Super 12","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322000/322080.png","Anrich Nortje is a genuine quick who has been described as "extremely exciting"" by none other than Dale Steyn. Like Steyn"
"T20I # 1861","South Africa","Anrich Nortje","Right hand Bat","Right arm Fast",Bowler,Pakistan,"South Africa","2022-11-03 00:00:00","Super 12","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322000/322080.png","Anrich Nortje is a genuine quick who has been described as "extremely exciting"" by none other than Dale Steyn. Like Steyn"
"T20I # 1853","South Africa","Anrich Nortje","Right hand Bat","Right arm Fast",Bowler,India,"South Africa","2022-10-30 00:00:00","Super 12","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322000/322080.png","Anrich Nortje is a genuine quick who has been described as "extremely exciting"" by none other than Dale Steyn. Like Steyn"
"T20I # 1847","South Africa","Anrich Nortje","Right hand Bat","Right arm Fast",Bowler,Bangladesh,"South Africa","2022-10-27 00:00:00","Super 12","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322000/322080.png","Anrich Nortje is a genuine quick who has been described as "extremely exciting"" by none other than Dale Steyn. Like Steyn"
"T20I # 1844","South Africa","Anrich Nortje","Right hand Bat","Right arm Fast",Bowler,"South Africa",Zimbabwe,"2022-10-24 00:00:00","Super 12","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322000/322080.png","Anrich Nortje is a genuine quick who has been described as "extremely exciting"" by none other than Dale Steyn. Like Steyn"
"T20I # 1878",India,"Arshdeep Singh","Left hand Bat","Left arm Medium fast",Bowler,England,India,"2022-11-10 00:00:00","Super 12",,
"T20I # 1873",India,"Arshdeep Singh","Left hand Bat","Left arm Medium fast",Bowler,India,Zimbabwe,"2022-11-06 00:00:00","Super 12",,
"T20I # 1860",India,"Arshdeep Singh","Left hand Bat","Left arm Medium fast",Bowler,Bangladesh,India,"2022-11-02 00:00:00","Super 12",,
"T20I # 1853",India,"Arshdeep Singh","Left hand Bat","Left arm Medium fast",Bowler,India,"South Africa","2022-10-30 00:00:00","Super 12",,
"T20I # 1848",India,"Arshdeep Singh","Left hand Bat","Left arm Medium fast",Bowler,India,Netherlands,"2022-10-27 00:00:00","Super 12",,
